           1  -3.1551487334260941E-011
           1  -6.4507849972805786E-007
           1  -2.6500742301548835E-011
           1   4.3070233414922027E-011
           1   4.3048608457238111E-009
           1   4.3051002963576113E-007
           1   4.3337288217740744E-003
           1   3.2747995517244666E-007
           1   8.7691446756799074E-008
           1   7.2081240302199201E-004
           1   3.7004004525852174E-002
           1   1.0119467984473496E-005
           1   1.0119467984473496E-005
           1   4.3076069280861828E-005
           1   3.7004004525852174E-002
           1   3.7004004525852174E-002
           1   3.7004004525852174E-002
           1   3.7004004525852174E-002
           1   4.8451638714739675E-002
           1   4.8451638714739675E-002
           1   4.8451638714739675E-002
           1  -7.3769452709149586E-002
           1 -0.81102754790258924     
           1 -0.88686997990624183     
           1  -1.0906895989702792     
           1  -3887.9999982531467     
           1  -3887.9999982531467     
           1  -3887.9999982531467     
           1  -3.8880000000022746E-003
           1   7.0746144335451889E-009
           1   7.0763620937281000E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617577000691E-003
           1   7.0763617580055834E-003
           1   4.0729093115584036E-002
           1   7.9916852772387692E-002
           1  -387.34108260618848     
