           1  -2.0605467812803904E-015
           1  -9.3042311455812311E-015
           1  -2.1084600981123911E-016
           1  -1.2278202855686476E-016
           1  -2.4301546852667156E-015
           1  -1.4501310271510853E-013
           1  -1.3563980232446189E-009
           1  -1.1718504962010415E-013
           1  -4.7413037327068433E-014
           1  -2.2561629671541471E-010
           1  -1.1993170167710417E-008
           1  -3.1724400944432355E-012
           1  -3.1724400944432355E-012
           1  -1.3533420780586424E-011
           1  -1.1993170167710417E-008
           1  -1.1993170167710417E-008
           1  -1.1993170167710417E-008
           1  -1.1993170167710417E-008
           1  -1.5712209633781523E-008
           1  -1.5712209633781523E-008
           1  -1.5712209633781523E-008
           1  -1.1993170167710417E-008
           1  -1.9169758906045416E-008
           1  -5.6015101857718951E-009
           1  -6.0328208455005801E-009
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -3.8530728400816902E-025
           1  -3.8530728400816902E-025
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -5.6683770385309375E-013
           1  -1.1993170167710417E-008
           1  -2.5447661810490958E-008
           1   6.2286955514265885E-006
           1   6.2754483346673843E-006
           1   6.2754483346673843E-006
           1   6.2754483346673843E-006
           2   6.3502400976543862E-006
           3   6.3777121992682992E-006
